Trade_Frequency,Day_Trade,Nstock_clean,Lottery_Stocks,Stress_Level,Smoke,Drink_Alcohol,Addiction_Score,Gambling_Score,Male_Dummy,Age,Single_Dummy,Income,Master_Dummy,Risk_Tolerance_Score,Financial_Literacy,Est_Interval,Percent_better_than_me,Experience,Return_needed_for_exp,Derivative_Warrant,Margin_Account
1,0,0,0,5,0,0,0,1,0,28,1,150000,1,4,2,1244,100,1,0,0,0
5,0,3,0,5.5,0,1,2,1.25,1,31,1,15000,0,6,4,100,99,1,1,0,0
2,1,10,1,5.5,0,1,4,2.5,0,31,1,30000,1,7,9,200,20,4,1,1,0
5,0,3,1,5.5,0,0,0,1,1,31,0,18000,1,6,9,50,90,4,0,1,0
3,0,8,1,2,1,1,0,1.25,1,50,1,80000,0,6,7,100,80,4,0,0,0
4,1,7,1,5.5,0,0,4,1.25,0,29,0,30000,0,7,8,89,60,3,0,1,0
5,1,4,1,2.5,0,1,2,1.75,0,36,1,70000,1,4,7,50,90,3,1,1,0
3,0,,1,3,0,1,1,1,1,51,0,200000,1,5,8,75,80,4,0,0,0
4,0,5,0,1,0,1,0,1,1,40,0,100000,0,5,7,35,80,3,1,0,0
1,0,0,0,5,0,0,0,1,0,40,1,100000,1,6,1,1600,0,1,0,0,0
2,0,12,1,2,0,0,0,1,0,35,1,120000,1,5,6,450,60,4,1,0,0
4,1,5,0,4,0,0,0,1,1,34,1,120000,1,5,9,100,20,3,0,1,0
3,1,4,0,1,0,0,0,1,0,36,1,30000,0,6,8,110,90,3,0,0,0
5,1,5,0,3.5,0,0,2,3,1,28,0,50000,1,4,5,70,70,3,1,0,0
2,1,3,1,5.5,0,0,1,1,0,48,0,250000,1,5,9,150,50,4,1,0,1
3,1,10,1,3.5,0,0,0,1.5,1,32,1,150000,1,6,7,125,75,4,1,1,1
3,1,7,1,3.5,0,0,2,1.75,1,28,1,100000,1,8,6,120,20,4,0,1,1
2,1,,1,3.5,1,1,0,1,1,50,0,100000,1,5,6,100,50,4,1,1,0
3,0,,1,2,0,1,0,1,1,32,1,45000,0,8,9,20,1,3,0,0,0
3,0,5,0,2.5,0,0,0,1,1,50,0,100000,1,6,5,150,99,3,1,0,0
3,1,4,0,1,0,0,0,1,0,36,1,30000,0,6,8,110,90,3,0,0,0
2,0,,1,3.5,0,0,0,1,1,47,0,500000,1,4,1,50,100,3,1,0,0
3,1,20,1,5.5,0,1,2,1,0,48,0,200000,0,4,8,400,80,4,1,0,0
4,1,10,0,2,0,0,1,1,1,46,0,120000,0,4,6,40,60,3,1,0,0
5,1,3,0,2,0,0,1,1,0,33,1,450000,1,7,7,40,60,1,0,0,0
5,0,5,0,4,0,1,2,1.25,1,43,1,85000,0,7,9,45,75,3,0,1,0
1,0,4,1,4,0,1,2,1,1,40,0,200000,1,5,7,26,100,4,1,0,0
5,1,10,1,5.5,0,1,3,1,1,37,1,300000,1,7,6,150,70,3,1,1,1
4,0,5,1,3.5,0,0,1,1.5,1,33,0,28000,0,7,7,80,70,2,1,0,0
3,1,6,1,4,0,0,0,1,1,33,0,100000,1,5,9,100,99,3,1,0,0
4,1,8,1,3.5,0,1,2,1.25,0,42,0,400000,1,5,8,90,50,4,1,1,0
3,1,,1,3,0,0,2,1.75,1,41,0,200000,1,4,4,20,90,3,1,0,1
5,1,6,1,5.5,0,0,3,1,1,31,0,80000,1,6,9,70,80,4,1,0,0
4,1,5,0,3,0,0,0,1,1,40,0,100000,0,5,6,60,80,4,0,1,0
2,0,5,1,5,0,0,0,1,1,48,0,300000,1,7,9,50,80,4,0,1,0
3,1,8,1,5.5,1,1,1,1,1,38,0,50000,1,6,5,80,99,3,1,0,1
5,1,3,1,2.5,0,0,2,2.25,1,45,1,800000,1,6,7,150,20,4,0,1,1
3,1,2,1,3,0,0,2,1.25,0,25,1,20000,0,6,8,35,70,3,1,0,0
5,1,10,1,3.5,0,0,2,1,0,24,1,15000,0,6,8,70,99.99,2,1,1,0
4,1,4,1,3.5,0,0,0,1,0,24,1,15000,0,5,9,49.3,80,3,0,0,0
5,1,3,1,3.5,0,1,4,1.25,1,24,1,15000,0,8,8,65,80,3,1,1,0
4,0,,1,3,0,0,1,1.5,1,27,1,17000,0,8,7,80,70,3,1,0,0
5,1,2,1,4,0,0,3,1.25,0,31,1,80000,0,8,9,130,50,4,1,1,0
5,1,2,1,3,0,0,3,2.75,1,24,1,17000,0,4,6,130,50,3,1,1,0
4,1,5,1,4,0,0,2,1.5,1,36,1,30000,1,7,6,100,90,4,0,1,0
5,1,7,1,2.5,0,0,2,1,1,29,1,13000,0,8,8,50,50,4,1,0,0
4,1,15,1,3,0,0,0,1.25,0,41,0,100000,0,7,7,45,60,4,0,1,0
5,1,3,1,1.5,1,0,2,1,1,28,1,30000,0,8,6,50,10,3,0,1,0
4,1,5,1,3.5,0,1,0,1,1,30,1,20000,0,6,9,40,30,3,0,1,0
1,0,1,0,3,0,1,2,1,0,24,1,17000,0,5,8,90,90,2,0,0,0
5,1,,1,4,1,1,1,1,1,30,1,20000,0,5,2,100,80,2,0,0,0
5,1,3,1,3,0,0,2,1,1,30,1,16000,0,7,9,95,50,3,1,1,0
3,1,5,1,4,0,0,1,1,0,29,0,20000,1,5,8,400,70,3,0,1,0
5,1,10,0,4.5,1,1,0,1,1,23,1,35000,0,7,2,100,30,3,1,1,0
5,1,3,1,2,0,0,0,1,1,27,1,14000,0,7,8,70,80,3,1,1,0
4,1,3,1,3.5,1,1,1,1.75,1,44,0,300000,1,7,9,90,40,4,0,1,1
4,1,5,1,4,0,1,2,3.5,1,23,1,17000,0,7,3,60,80,2,1,0,0
3,1,2,1,6,0,0,2,1,0,36,1,15000,1,8,6,50,65,4,1,1,0
4,0,2,0,2.5,0,0,0,1,1,38,0,40000,0,4,9,40,20,3,1,0,0
4,1,4,1,4,0,0,2,4,1,32,0,12000,0,7,9,70,50,4,0,1,1
1,1,4,1,3.5,0,1,3,1,0,29,1,35000,1,7,9,100,10,3,0,1,0
5,1,10,1,3.5,1,1,2,1.25,1,24,1,15000,0,8,5,35,70,2,0,1,0
5,1,5,1,5,0,0,3,1,0,29,1,15000,1,6,8,40,80,3,1,1,0
3,1,3,1,1,0,0,1,1,0,28,1,15000,0,6,7,100,50,3,0,1,0
5,0,6,1,4.5,0,1,4,1,0,27,1,30000,0,7,9,150,40,4,1,1,0
4,1,5,1,2.5,1,1,7,4,1,37,1,30000,0,4,5,100,50,1,1,0,0
4,0,6,1,5,0,0,1,1.25,0,43,0,25000,1,5,8,120,80,3,1,1,0
5,1,5,1,5.5,0,0,2,1.25,0,28,1,10000,0,6,8,50,30,3,1,0,0
3,1,3,0,3.5,0,1,3,1.5,0,25,1,15000,0,5,9,50,60,3,1,0,0
4,1,4,1,2.5,0,0,2,1,1,32,1,25000,0,6,8,50,50,1,1,1,0
5,1,5,1,5,0,1,2,1,1,25,1,15000,0,7,8,90,70,3,1,0,0
5,1,3,1,4,0,1,3,1,1,23,1,20000,0,6,0,50,5,3,1,1,1
5,1,4,1,4,0,1,0,2.5,1,25,1,30000,0,7,9,52,30,3,0,1,0
1,0,0,0,5,0,1,0,1,1,35,1,50000,0,5,4,60,50,1,1,0,0
5,1,2,1,2,0,1,3,1.75,1,49,0,200000,1,7,8,100,80,4,0,1,0
4,1,,1,3.5,1,1,2,1.75,0,45,1,50000,1,6,6,250,40,2,1,0,0
5,1,5,1,4,0,0,2,1,0,35,1,30000,1,4,6,59,50,3,0,1,0
3,1,4,1,6,0,0,2,1,0,31,1,45000,1,6,8,70,70,3,1,1,0
5,1,5,0,1,0,0,1,1,0,31,1,100000,1,6,7,200,50,3,0,0,0
4,1,6,1,3,0,0,0,1,0,28,1,20000,1,5,7,40,40,4,0,0,0
4,1,10,0,3,0,1,1,1,0,25,1,30000,0,6,8,70,50,3,0,1,0
3,0,5,0,4,1,1,1,1.25,1,27,1,15000,0,4,9,60,90,3,0,1,0
4,1,10,1,3,0,0,0,1.5,0,29,1,20000,1,5,2,70,50,4,1,0,0
5,1,2,1,6,1,1,9,1,1,29,1,50000,0,6,5,93,50,3,1,1,1
1,1,1,0,3,0,0,3,2.5,0,28,1,50000,0,6,6,50,100,2,0,0,1
5,1,9,1,5,1,1,5,3.75,1,26,1,12000,0,8,6,63,50,3,1,1,0
5,1,4,1,4,0,0,1,1.25,1,39,1,40000,0,7,9,328.71,99,4,0,1,0
3,1,0,1,4.5,0,0,0,1.75,1,27,1,20000,1,6,8,160,80,4,0,1,0
2,0,5,1,5,0,0,1,1,1,28,1,30000,0,5,4,40,99,3,0,0,0
3,0,2,1,3.5,0,1,2,2.5,1,28,1,100000,1,7,7,150,80,3,0,0,0
4,1,8,1,3.5,0,0,2,1,0,48,1,50000,1,8,6,155,100,4,0,1,0
3,0,4,0,6,0,1,2,1,1,27,1,50000,0,6,9,120,60,3,0,0,0
4,1,6,0,2,0,0,0,1,1,33,1,60000,0,5,7,70,99,2,0,0,0
1,0,9,0,4,0,0,1,1,0,39,1,60000,0,5,4,50,80,3,0,1,0
5,1,3,0,3,0,0,3,1,0,26,1,60000,0,4,7,80,5,2,1,0,0
3,0,3,0,5.5,0,1,2,2,1,40,1,30000,0,5,6,555,80,1,1,0,0
3,1,13,0,4,0,0,0,1,0,40,1,20000,1,5,7,70,85,4,1,1,0
1,1,2,1,5,0,0,3,1,0,25,1,20000,0,5,6,85,50,3,0,1,0
1,0,0,0,2,0,0,0,1,1,31,1,100000,1,4,0,1600,0,1,0,0,0
2,0,5,0,3,0,1,0,1,1,32,0,50000,1,6,8,50,30,4,0,1,0
4,1,10,1,4,0,0,3,1,1,29,1,50000,1,7,9,100,30,4,0,1,1
2,1,3,1,3,1,1,2,2,0,28,1,50000,1,4,9,150.74,80,3,1,0,0
2,0,20,0,1,0,0,0,1,1,33,0,130000,1,8,9,50,10,4,0,0,0
2,0,3,0,5.5,0,1,2,1.25,1,31,0,25000,0,7,7,140,80,3,1,0,0
3,1,4,1,3.5,0,1,2,1.25,0,31,1,70000,1,7,9,50,80,4,1,1,0
1,0,4,1,4,0,1,1,1,0,27,1,52000,1,6,9,70,99.99,3,0,1,0
5,0,,1,5,0,0,3,2.25,0,30,0,100000,1,6,8,70,80,3,0,1,0
3,0,6,1,4.5,1,1,1,1,0,40,1,80000,0,7,7,50,90,4,0,1,0
2,1,15,1,4,0,0,0,1,0,59,0,300000,1,4,7,35,5,4,0,1,0
2,1,15,0,4.5,0,0,1,1,0,54,0,100000,0,5,7,25,70,4,0,1,0
4,1,10,1,3.5,0,1,1,1,0,43,1,400000,1,6,5,70,80,3,1,1,0
2,0,2,0,3,0,1,0,1.25,1,32,1,60000,1,4,7,100,70,1,1,0,0
1,1,5,0,3,0,0,0,1,1,33,1,80000,0,6,8,70,70,3,0,1,0
5,1,,1,3.5,0,1,3,1,1,31,1,40000,0,7,5,150.75,90,2,0,0,0
2,0,5,0,3.5,0,1,0,1.75,0,31,1,190000,1,4,9,150,70,3,1,0,0
3,1,10,0,5,0,0,0,1,1,31,1,60000,1,5,9,122,70,3,0,0,0
4,1,5,0,2.5,0,1,2,3,0,24,1,36000,1,4,7,109,90,2,0,0,0
1,1,3,0,3.5,0,0,2,1,1,33,1,58000,1,6,9,120,30,4,0,1,0
4,1,20,1,2,0,0,1,1,0,29,0,30000,0,5,7,150,50,3,1,1,0
2,0,7,0,2,0,0,1,1,0,29,1,80000,1,5,6,200,80,3,0,0,0
1,0,3,1,3,0,0,0,1,1,32,1,100000,1,6,9,130,70,3,0,0,0
3,1,3,1,2.5,1,0,1,1,1,32,1,200000,1,7,7,60,50,4,1,1,1
1,0,0,0,2.5,0,1,0,1,1,29,1,130000,1,6,8,70,50,4,0,0,0
3,0,5,1,4,0,0,3,1,0,24,1,10000,0,6,8,250,80,2,1,0,0
1,1,5,0,3,0,0,0,1.5,1,30,1,50000,1,4,8,100,80,2,1,0,0
5,1,2,1,3,0,1,2,1.25,0,30,1,20000,1,6,6,70,50,4,1,1,0
4,0,10,0,2.5,0,1,0,1.25,1,52,0,50000,0,6,5,150,80,3,0,0,0
2,1,6,0,2,0,0,0,1,1,29,1,15000,0,6,8,100,50,4,0,1,0
2,1,2,1,3.5,0,0,1,1,0,25,0,20000,0,6,8,100,50,4,1,1,0
1,0,2,0,5,0,0,0,1,1,70,0,100000,0,3,0,40,100,4,0,0,0
4,1,5,1,4,0,0,1,1,1,30,1,80000,0,6,9,70,100,3,0,1,0
3,0,2,1,4.5,0,1,2,1.75,1,31,1,135000,1,6,8,151,50,4,1,0,0
4,1,4,1,3,0,1,0,1,1,28,1,50000,1,6,6,80,90,2,0,1,0
2,1,5,1,4.5,0,1,1,1,1,27,1,50000,0,6,9,98.84,50,3,1,1,0
4,0,,0,3.5,0,1,2,3.25,1,43,0,50000,0,7,4,150,100,1,0,1,0
1,0,10,0,3,0,1,0,1,0,56,0,200000,1,4,9,100,95,4,0,1,0
1,0,0,0,4,0,1,0,2.75,0,29,1,70000,1,5,6,1560.47,92,2,0,0,0
5,1,7,1,5.5,0,1,1,1,0,27,1,42000,1,7,8,200,50,4,0,1,0
4,0,5,0,4,0,1,1,1,0,30,1,60000,1,6,8,30,50,3,0,0,0
3,0,80,0,3.5,0,0,2,1,1,51,0,150000,1,7,9,130,10,4,0,1,0
5,1,5,1,4,0,0,1,1,1,30,1,100000,0,6,8,170,80,3,1,1,0
1,1,2,0,2.5,0,0,2,3,0,27,1,16000,0,4,2,150,5,1,1,1,1
1,0,0,0,4,1,0,0,1,1,36,1,60000,0,5,7,1600,0,1,1,0,0
5,1,10,1,5,1,1,8,2,1,29,1,20000,0,8,2,192.53,2,3,1,1,1
1,0,3,0,3.5,1,1,0,1,1,31,1,60000,0,5,9,300,15,2,0,0,0
5,1,4,0,1,0,0,1,1,1,31,1,15000,1,8,9,100,40,4,0,1,0
3,1,3,1,4,0,0,3,1.25,0,26,1,20000,0,6,8,100,80,3,1,1,0
5,1,3,1,3,0,0,2,1,0,25,1,15000,0,8,8,70,70,3,1,1,0
2,0,10,0,4.5,0,0,0,1,1,37,0,100000,0,6,6,50,99,2,0,0,0
2,1,4,0,2,0,0,2,3,0,40,0,100000,1,4,6,12.53,100,3,1,0,0
5,1,3,1,3.5,0,0,2,1.5,0,30,1,35000,0,6,3,400,80,3,1,1,0
1,0,0,0,2,0,0,0,1.25,1,53,0,100000,1,2,7,50,80,1,1,0,0
3,1,,1,4,0,1,2,1,1,44,0,100000,0,5,6,120,50,4,0,1,0
5,0,40,1,1.5,0,0,1,1,1,59,0,100000,1,8,3,120,20,4,0,1,1
2,1,3,1,3.5,0,1,0,1.25,1,40,0,50000,0,6,5,150,30,3,0,0,1
2,1,4,1,4.5,1,1,3,2.75,0,32,1,100000,1,5,8,20,70,3,0,1,0
3,0,5,1,4.5,0,1,1,1.5,1,26,1,50000,1,7,8,270,40,3,0,1,0
4,0,30,0,3.5,0,0,0,1,1,36,0,69000,1,6,7,70,60,3,0,1,0
1,0,1,0,4.5,0,0,0,1,1,52,0,80000,0,5,7,50,80,4,0,0,0
4,1,,1,3,0,1,2,2.75,1,34,0,40000,1,5,7,100,90,3,1,0,0
5,1,,1,3.5,1,1,0,1.25,1,48,0,30,0,6,9,130,70,4,1,1,0
5,1,,1,3.5,1,1,0,1.25,1,48,0,30,0,6,9,130,70,4,1,1,0
4,1,7,0,2,0,0,3,1,1,53,0,60000,0,4,7,100,95,3,0,0,0
1,1,0,1,1,0,1,0,1.25,1,51,0,150000,1,5,2,30,80,4,1,0,0
5,1,,1,3.5,1,1,0,1.25,1,48,0,30,0,6,9,130,70,4,1,1,0
5,1,,1,3.5,1,1,0,1.25,1,48,0,30,0,6,9,130,70,4,1,1,0
5,1,,1,3.5,1,1,0,1.25,1,48,0,30,0,6,9,130,70,4,1,1,0
1,0,3,0,7,1,1,0,3,1,31,0,500000,1,6,5,1598,70,3,0,0,0
1,0,0,0,5.5,0,1,1,1,1,29,1,68000,1,4,7,200,70,1,1,0,0
3,1,10,1,2,0,0,1,1,0,33,1,35000,1,4,9,200,10,3,0,0,0
2,0,12,1,4.5,0,1,0,2,1,46,0,250000,1,4,5,10,100,3,1,0,0
4,0,3,1,3,0,1,4,1,1,51,0,180000,1,5,5,30,90,3,1,0,0
4,0,3,1,3,0,1,4,1,1,51,0,180000,1,5,5,30,90,3,1,0,0
4,1,10,1,2.5,0,0,1,1,1,47,0,200000,0,4,9,600,50,3,0,1,1
5,0,5,1,5.5,0,1,1,1,0,41,1,100000,1,6,4,10,80,4,1,1,0
2,1,,1,3.5,0,0,0,1.25,0,50,0,150000,1,5,7,100,50,3,0,0,0
1,0,2,0,4,0,0,0,1.5,0,33,0,80000,0,4,4,2000,100,3,1,0,0
4,1,,1,1.5,0,0,0,1,1,50,0,120000,0,6,7,70,90,4,1,0,0
1,1,1,1,4,0,0,0,1,1,36,1,1000000,1,6,7,80,80,4,0,0,0
1,0,0,0,3.5,0,0,0,1,1,29,1,40000,1,4,7,1508,100,1,1,0,0
2,1,6,1,4,0,1,0,1,1,35,0,18700,1,8,9,200,70,4,0,1,0
5,1,5,1,4,0,0,0,1,0,30,1,50000,1,8,9,180,50,4,0,1,0
2,0,6,1,3.5,0,0,1,1,0,58,0,100000,0,4,9,80,50,4,1,1,0
5,1,10,1,3,0,1,2,1,0,23,1,50000,0,7,8,120,15,3,0,1,0
4,1,2,1,4,0,1,2,1,1,40,1,50000,0,4,6,119,20,3,1,1,0
4,1,7,1,3.5,0,1,1,1,1,34,1,175000,0,7,8,200,99,3,0,0,0
2,0,15,0,3.5,0,0,1,1,1,39,1,40000,1,4,9,200,90,4,1,0,0
5,1,10,1,1.5,0,0,0,1,0,48,1,30000,0,6,6,130,60,4,1,1,0
3,1,3,1,3.5,0,0,0,1,1,34,0,50000,0,5,9,150,70,1,0,0,0
2,0,9,0,4,0,0,0,1,1,50,1,500000,0,5,9,150,60,4,0,0,0
1,0,5,0,2.5,0,0,0,1,0,33,0,350000,1,5,9,30,80,4,0,1,0
4,1,7,1,3,0,1,0,1,1,32,1,120000,0,6,9,100,40,3,0,1,0
1,0,6,0,4,0,1,0,1.5,1,32,1,50000,1,2,3,28.21,48,3,1,1,0
5,1,5,1,4,1,1,2,1,1,26,1,15000,0,4,9,40,20,3,0,1,0
2,0,3,0,4.5,0,0,0,1,1,35,1,100000,1,6,9,80,50,4,0,0,0
5,1,10,1,3.5,0,0,0,1,1,59,0,20000,1,4,7,100,90,4,1,1,0
1,0,0,0,2.5,0,0,0,1,0,37,0,30000,1,3,7,80,100,4,1,0,0
3,0,8,1,4,1,1,0,2.5,1,30,1,50000,1,7,9,50,50,3,0,1,0
5,0,9,1,3.5,0,1,2,1,0,29,1,40000,0,4,4,82,70,3,0,0,0
4,1,2,1,3,0,0,1,1,0,27,1,35000,0,5,7,50,20,4,1,0,0
3,1,3,1,4.5,0,1,0,1.25,0,27,0,30000,0,4,5,120,90,3,1,0,0
3,1,10,0,4.5,0,0,1,1,0,55,0,50000,0,5,8,15,55,4,0,0,0
1,0,0,0,2,0,0,0,1,1,58,0,50000,1,2,7,210,0,1,0,0,0
5,1,10,1,5,0,1,0,1,1,33,0,50000,1,6,5,130,80,4,1,1,0
3,1,20,1,5.5,0,0,2,1,0,28,1,60000,0,7,9,70,70,4,0,0,0
3,0,5,0,2.5,0,0,1,1,1,34,0,90000,1,8,8,50,30,2,0,0,0
5,1,4,1,2.5,0,0,1,2.5,0,36,0,80000,1,6,8,70,50,4,1,1,0
4,1,3,0,3.5,0,0,1,2.25,1,36,1,100000,1,7,8,280,65,4,1,1,0
1,0,1,0,4.5,0,0,0,1,0,65,0,90000,0,4,0,60,100,4,0,0,0
2,1,4,1,2.5,0,0,1,1,1,32,0,40000,0,5,7,10,95,3,1,1,1
3,0,10,0,4.5,1,1,0,1.25,1,64,1,100000,1,5,7,80,75,4,1,1,0
4,1,50,1,2,0,1,1,1,0,34,0,80000,1,8,9,180,50,4,0,1,0
5,1,9,0,3,0,0,1,1,1,63,0,30000,1,6,8,20,95,3,1,1,0
3,1,3,1,1,0,0,2,1,0,30,1,30000,0,5,2,300,95,3,0,0,0
3,1,3,1,6,0,0,3,1,0,29,1,40000,1,7,8,60,10,3,0,1,0
5,1,3,1,3.5,0,0,2,1,1,29,0,200000,0,7,6,120,80,4,1,1,0
3,0,6,0,4,0,0,1,1,1,58,0,50000,1,6,8,200,60,4,1,1,0
2,1,20,1,3.5,0,1,2,1,0,27,1,25000,0,6,7,110,80,3,1,1,0
5,1,,1,1,0,0,4,1,1,34,1,35000,0,5,7,150,30,3,1,1,0
5,1,1,0,5,0,0,2,1,1,31,0,70000,0,6,4,200,50,4,1,1,0
4,1,7,1,3.5,0,0,0,2,1,34,0,120000,1,4,5,270,60,3,1,1,1
5,0,8,1,3,0,0,0,1,0,34,1,70000,0,4,5,85,30,3,1,0,0
1,0,4,0,3.5,0,0,0,2.25,0,31,1,58000,1,4,8,100,90,3,1,1,0
4,1,15,1,3,0,1,0,1,1,37,0,40000,1,8,9,40,50,4,1,1,0
1,0,3,1,3.5,0,0,0,1,0,35,0,50000,1,5,9,60,80,4,1,0,0
5,1,7,1,4,0,1,3,1,1,32,1,50000,1,7,9,110,20,3,1,1,0
4,0,7,0,3.5,0,0,0,1,1,32,1,70000,1,5,9,100,95,4,1,0,0
3,0,10,1,4,0,0,0,1,0,30,1,200000,1,7,7,100,80,4,0,0,0
1,0,,0,4.5,0,0,0,1,0,25,1,100000,1,4,4,25,95,4,1,1,0
3,1,3,1,4,0,1,3,1.25,0,30,1,35000,1,6,5,70,60,4,0,1,0
2,0,10,0,5,0,0,0,1,1,44,0,70000,1,5,8,150,50,4,1,1,0
3,1,,1,3.5,1,1,1,1,1,37,1,50000,1,6,8,200,70,4,0,1,0
2,0,5,0,4,0,0,0,1,0,34,0,50000,1,4,7,50,90,4,0,0,0
2,0,6,1,3.5,0,0,0,1,0,28,1,27000,1,6,9,400,50,3,0,1,0
1,0,0,0,3,0,1,0,1,0,56,0,100000,0,4,2,1600,100,4,0,0,0
4,0,20,0,4.5,0,0,0,1,0,55,0,10000,1,5,8,40,70,4,0,1,0
3,0,8,1,3.5,1,1,1,2.5,1,32,1,130000,1,8,7,70,70,4,1,1,0
3,0,4,1,3.5,0,0,1,1,1,32,0,30000,0,6,5,150,80,3,1,1,0
1,0,0,0,4,0,0,0,1,0,37,0,35000,0,5,1,1508,0,1,1,0,0
1,0,1,0,3,1,1,0,1,1,32,1,50000,0,5,2,1599,50,1,1,0,0
1,0,0,1,4.5,0,1,0,1,1,59,0,150000,1,5,7,110,98,2,1,0,0
3,0,,0,1,0,0,1,1,1,57,0,100000,0,5,9,170,30,4,0,0,0
5,1,15,1,2,1,1,0,1,1,31,0,500000,1,5,9,285,40,4,0,1,1
4,1,1,1,4,0,0,4,1.25,1,30,1,30000,0,8,4,120,80,3,1,1,0
1,1,,0,2.5,0,1,2,1,1,38,1,50000,1,3,7,100,90,2,0,0,0
2,0,12,1,2,0,1,0,1,1,36,1,100000,0,5,7,160,80,4,0,1,0
3,0,6,1,4,1,0,0,2.5,1,59,0,300000,0,8,9,200,90,4,0,1,0
2,0,7,0,5.5,0,0,3,1,1,31,1,100000,1,4,7,148,60,3,1,0,1
3,1,9,1,5,0,0,2,1,1,32,0,100000,1,7,9,60,80,3,0,1,0
3,0,2,0,4,0,1,1,2.25,1,24,1,25000,1,5,6,50,50,3,1,0,0
1,0,0,0,2.5,0,1,0,1,1,30,1,58000,0,5,9,51,100,3,0,0,0
5,1,5,0,4,0,0,3,2,0,33,0,110000,0,5,9,40,50,3,1,0,0
3,1,50,1,5.5,0,1,3,1.25,1,39,0,100000,1,8,9,200,50,4,0,1,0
3,1,,1,2,0,0,0,1,0,31,0,100000,1,7,5,150,50,4,0,0,0
4,1,12,1,3.5,0,1,0,1.25,0,40,1,100000,0,7,7,150,70,3,1,1,0
2,0,7,1,2,0,0,0,1,0,49,0,300000,1,4,9,100,40,3,0,0,0
1,0,4,1,3,0,1,0,1,0,30,1,30000,1,5,8,200,60,4,0,0,0
5,0,6,0,4,0,0,3,1,0,30,1,60000,1,6,7,50,10,4,0,0,0
5,1,7,0,3.5,0,0,1,1,1,29,1,50000,1,7,8,75,50,3,0,1,0
5,1,7,0,3.5,0,0,1,1,1,29,1,50000,1,7,8,75,50,3,0,1,0
5,1,5,1,3.5,0,0,0,1,1,31,1,100000,0,8,8,130,30,4,0,1,0
3,0,2,1,5.5,1,1,4,1,0,30,1,50000,1,6,8,70,80,3,1,1,0
2,1,4,1,3,0,0,2,1,0,27,1,50000,1,5,9,150,60,3,0,0,0
5,0,5,0,4,0,1,3,1,1,28,1,60000,1,6,8,110,30,4,0,0,0
3,0,15,0,4.5,0,0,1,1,0,36,1,100000,1,8,8,100,80,4,0,0,0
3,0,10,0,4.5,0,0,0,1,0,33,1,80000,1,5,9,50,50,4,0,0,0
1,0,2,0,3,0,0,0,1,0,40,1,90000,1,4,9,800,100,2,1,0,0
1,1,4,0,3,0,0,1,1,0,29,1,70000,1,4,8,40,80,3,0,1,0
4,1,9,1,2.5,0,1,2,1.25,1,57,0,70000,1,5,8,23,20,4,0,1,0
4,1,5,0,3,1,1,2,1,1,27,1,45000,1,6,1,200,70,3,1,0,0
1,0,0,0,3.5,1,1,0,1,0,28,0,100000,0,4,5,1508.47,1,1,0,0,0
3,0,4,1,4,0,0,0,1.25,0,33,1,100000,1,6,9,75,50,3,1,1,0
1,0,0,0,3.5,1,1,1,1,1,31,0,50000,1,5,4,50,50,1,1,0,0
3,1,25,0,2,0,0,0,1,0,49,1,350000,0,8,9,150.74,40,3,1,0,0
1,0,0,0,4,0,0,0,1,0,30,1,200000,1,4,4,400,70,1,0,1,0
5,1,10,1,3.5,0,0,1,1,1,30,0,50000,1,7,5,100,50,4,1,1,0
5,1,6,1,3.5,0,0,0,1,0,32,1,50000,1,5,9,150,60,3,0,0,0
1,1,0,1,4.5,0,0,1,1,0,30,0,40000,1,4,9,150,80,1,1,0,0
3,1,3,0,3,1,1,1,1,1,34,0,60000,1,5,8,100,80,3,0,0,0
3,1,4,1,4,1,1,1,2.75,1,29,1,60000,1,6,8,50,99,2,0,1,0
3,0,5,1,4,0,0,0,1,0,33,1,55000,1,4,6,200,50,1,1,0,0
2,0,3,1,4.5,0,0,1,1,1,32,1,10000,1,8,9,200,50,4,1,1,0
3,1,12,1,3.5,0,1,2,1.25,0,31,1,35000,1,5,9,160,80,1,1,1,0
4,1,12,1,5,0,0,4,1.5,1,35,0,90000,1,6,7,100,20,4,1,1,0
1,0,3,1,2.5,0,1,1,1,1,34,0,150000,1,5,9,200,90,3,1,0,0